scientific_name,name
Argyranthemum,dill daisy
Arrhenatherum,
Artabotrys,
Artemisia,Dragon
Artemisia,Dragoncillo
Artemisia,Estragon
Artemisia,Estragao
Artemisia,French tarragon
Artemisia,Polyn Estragon
Artemisia,Russian Tarragon
Artemisia,tarragon
Artemisia,green sagewort
Artemisia,wormwood
Artemisia,false tarragon
Artemisia,silky wormwood
Artemisia,sagebrush
Artemisia,wormwood
Artemisia,sagewort
Arthrostylidium,
Arum ,Italian arum	
Arum ,Italian cuckoo-pint
Arum ,Italian lords-and-ladies	
Arum ,
Arundinaria,Bamboo Shoots
Asclepias,bastard ipecacuana
Asclepias,bloodflower
Asclepias,bastard-ipecac
Asclepias, bloodflower milkweed
Asclepias,cottonbushort
Asclepias,false ipecac
Asclepias,Madagascar cottonbush
Asclepias,scarlet milkweed
Asclepias,wallflower cottonbush
Asclepias,wild ipecac
Asclepias,West Indian ipecacuana
Asclepias,swallowwort
Asclepias,swamp milkweed
Asclepias,rose milkweed
Asclepias,Milkweed
Asclepias,common milkweed
Asclepias,silkweed
Asclepias,silky swallowwort
Asclepias,"Virginia-silk, "
Asclepias,broadleaf milkweed
Asclepias,butterfly-weed
Asclepias,butterfly milkweed
Asclepias,chieger-flower
Asclepias,pleurisy-root
Asclepias,butterflyweed
Asparagus,African asparagus fern
Asparagus,
Asparagus,aspargo
Asparagus,klättersparris
Asparagus,garden asparagus
Asparagus,Asparagio
Asparagus,Asperge
Asparagus,Espargo
Asparagus,Sparris
Asparagus,
Asparagus,common asparagus fern
Asparagus,
Asparagus,flocksparris
Asparagus,
Aspidistra,barroomplant
Aspidistra,cast-iron plant
Aspidistra,
Asplenium,bird's-nest fern
Asplenium,nest fern
Asplenium,Hawai'i birdnest fern
Asplenium,spleenworts 
Astelia,pineapplegrass
Aster,Alpine aster
Aster,Blue Alpine Daisy
Aster,European Michaelmas daisy
Aster,Italian aster
Aster,Italian starwort
Aster,
Aster,smooth aster
Aster,aster
Aster,Tartarian aster
Aster,sea aster
Astilbe,
Astilbe,Chinese astilbe
Astilbe,tall false buck's-beard
Astilbe,false buck's-beard
Astilbe,Japanese astilbe
Astilbe,spiraea
Astilbe,
Astrantia,astrantia
Astrantia,greater masterwort
Astrantia,masterwort
Athroostachys,
Athrotaxis,
Athyrium,
Atractantha,
Atriplex,Saltbush
Aulonemia,
Austrocedrus,
Avena,Red Oat
Avena,Side Oat
Avena,Tree Oat
Avena,shofan
Avena,Oats
Azadirachta,Indian-Lilac
Azadirachta,Neem
Azadirachta,Neem Gum
Azadirachta,Nimtree
Azadirachta,
Baloskion ,
Bambusa,Bamboo
Banksia,Albany banksia
Banksia,scarlet banksia
Banksia,waratah banksia
Banksia,Hooker's banksia
Banksia,acorn banksia
Banksia,orange  banksia
Banksia,
Baptisia,baptisia
Baptisia,blue false indigo
Baptisia,blue wild indigo
Baptisia,
Bashania,
Beccariophoenix ,Manarano Palm
Beccariophoenix ,Rain Forest Coconut
Bellis,
Bergbambos,
Berzelia,
Berzelia,
Berzelia,
Beta ,Foliage Beet
Beta ,Field Beet
Beta ,Fodder Beet
Beta ,Red Beet
Beta ,"Beetroot, beta"
Betula,Paper Birch
Betula,European White Birch
Betula,Silver Birch
Betula,Weeping Birch
Betula,Birch
Bismarckia,Bismarckpalme
Bismarckia,satra
Bismarckia,satrabe
Bismarckia,satrana
Bismarckia,
Bonia,Bamboo
Borassus,borassus palm
Bougainvillea,
Bouvardia,
Brachythecium,
Brachythecium,
Bracteantha  ,
Brassica,Curly Kale
Brassica,Flowering Kale
Brassica,Ornamental Cabbage
Brassica,Scotch Kale
Brassica,Scottish Kale
